comp,yr,conc,angle,radius,calc_x,calc_y
Mozart,1922,1,1.78499582590329,37,-7.86491571346013,36.1544340409329
Paderewski,1922,1,1.78499582590329,5,-1.06282644776488,4.8857343298558
Prokofiev,1922,2,1.78499582590329,30,-6.37695868658929,29.3144059791348
Rachmaninoff,1922,4,1.78499582590329,35,-7.43978513435418,34.2001403089906
Saint-Saëns,1922,4,1.78499582590329,27,-5.73926281793037,26.3829653812213
Schumann,1922,4,1.78499582590329,31,-6.58952397614227,30.2915528451059
Tchaikovsky,1922,2,1.78499582590329,34,-7.2272198448012,33.2229934430194
Bach,1923,2,1.76714586764426,22,-4.29198708435482,21.5772761688711
Beethoven,1923,11,1.76714586764426,38,-7.41343223661287,37.2698406553228
Brahms,1923,5,1.76714586764426,36,-7.02325159258061,35.3082700945163
Chopin,1923,2,1.76714586764426,32,-6.2428903045161,31.3851289729034
Grieg,1923,2,1.76714586764426,28,-5.46252901645159,27.4619878512905
Liszt,1923,5,1.76714586764426,33,-6.43798062653223,32.3659142533066
MacDowell,1923,1,1.76714586764426,21,-4.09689676233869,20.5964908884678
Mozart,1923,5,1.76714586764426,37,-7.21834191459674,36.2890553749195
Paderewski,1923,2,1.76714586764426,5,-0.975451610080641,4.90392640201615
Rachmaninoff,1923,3,1.76714586764426,35,-6.82816127056449,34.3274848141131
Schumann,1923,3,1.76714586764426,31,-6.04779998249997,30.4043436925001
Tchaikovsky,1923,4,1.76714586764426,34,-6.63307094854836,33.3466995337098
Beethoven,1924,4,1.74929590938523,38,-6.74702145766352,37.3962257647724
Brahms,1924,6,1.74929590938523,36,-6.39191506515491,35.4280033561002
Grieg,1924,1,1.74929590938523,28,-4.97148949512049,27.5551137214112
Liszt,1924,2,1.74929590938523,33,-5.859255476392,32.4756697430918
Mozart,1924,3,1.74929590938523,37,-6.56946826140921,36.4121145604363
Paderewski,1924,1,1.74929590938523,5,-0.887765981271516,4.92055602168058
Saint-Saëns,1924,3,1.74929590938523,27,-4.79393629886618,26.5710025170751
Schumann,1924,6,1.74929590938523,31,-5.5041490838834,30.5074473344196
Tchaikovsky,1924,7,1.74929590938523,34,-6.03680867264631,33.4597809474279
Beethoven,1925,3,1.73144595112619,38,-6.07846099300269,37.510695967371
Brahms,1925,2,1.73144595112619,36,-5.75854199337097,35.5364488111936
Gershwin,1925,2,1.73144595112619,25,-3.9989874953965,24.6780894522178
Grieg,1925,2,1.73144595112619,28,-4.47886599484408,27.6394601864839
MacDowell,1925,1,1.73144595112619,21,-3.35914949613306,20.7295951398629
Mozart,1925,3,1.73144595112619,37,-5.91850149318683,36.5235723892823
Rachmaninoff,1925,4,1.73144595112619,35,-5.59858249355511,34.5493252331049
Saint-Saëns,1925,1,1.73144595112619,27,-4.31890649502822,26.6523366083952
Schumann,1925,6,1.73144595112619,31,-4.95874449429166,30.60083092075
Stravinsky,1925,2,1.73144595112619,18,-2.87927099668548,17.7682244055968
Tchaikovsky,1925,3,1.73144595112619,34,-5.43862299373925,33.5622016550162
Beethoven,1926,8,1.71359599286716,38,-5.40796385438484,37.6132147914754
Brahms,1926,1,1.71359599286716,36,-5.12333417783827,35.6335719077136
Chopin,1926,3,1.71359599286716,32,-4.55407482474513,31.6742861401898
Gershwin,1926,2,1.71359599286716,25,-3.55787095683213,24.7455360470233
Grieg,1926,1,1.71359599286716,28,-3.98481547165199,27.7150003726661
Haydn,1926,4,1.71359599286716,19,-2.70398192719242,18.8066073957377
Mozart,1926,2,1.71359599286716,37,-5.26564901611155,36.6233933495945
Rachmaninoff,1926,2,1.71359599286716,35,-4.98101933956498,34.6437504658326
Schumann,1926,6,1.71359599286716,31,-4.41175998647184,30.6844646983089
Tchaikovsky,1926,1,1.71359599286716,34,-4.8387045012917,33.6539290239517
Beethoven,1927,3,1.69574603460813,38,-4.73574367061306,37.7037495733017
Brahms,1927,4,1.69574603460813,36,-4.48649400373869,35.7193417010227
Gershwin,1927,1,1.69574603460813,25,-3.11562083592965,24.805098403488
Grieg,1927,2,1.69574603460813,28,-3.48949533624121,27.7817102119065
Liszt,1927,4,1.69574603460813,33,-4.11261950342714,32.7427298926041
Mozart,1927,4,1.69574603460813,37,-4.61111883717588,36.7115456371622
Schumann,1927,2,1.69574603460813,31,-3.86336983655276,30.7583220203251
Beethoven,1928,2,1.67789607634909,38,-4.06201461947429,37.7822714673321
Brahms,1928,2,1.67789607634909,36,-3.84822437634406,35.7937308637883
Gershwin,1928,1,1.67789607634909,25,-2.67237803912782,24.8567575442974
Liszt,1928,1,1.67789607634909,33,-3.52753901164873,32.8109199584726
Rachmaninoff,1928,1,1.67789607634909,35,-3.74132925477895,34.7994605620164
Schumann,1928,1,1.67789607634909,31,-3.3137487685185,30.8223793549288
Tchaikovsky,1928,4,1.67789607634909,34,-3.63443413321384,33.8051902602445
Beethoven,1929,2,1.66004611809006,38,-3.38699135949948,37.8487554555057
Brahms,1929,2,1.66004611809006,36,-3.20872865636793,35.8567156946897
Honegger,1929,2,1.66004611809006,7,-0.623919460960431,6.97213916285632
Liszt,1929,2,1.66004611809006,33,-2.94133460167061,32.8686560534655
Mozart,1929,2,1.66004611809006,37,-3.29786000793371,36.8527355750977
Schumann,1929,1,1.66004611809006,31,-2.76307189853905,30.8766162926494
Tchaikovsky,1929,1,1.66004611809006,34,-3.03046595323638,33.8646759338736
Beethoven,1930,1,1.64219615983103,38,-2.71088896157083,37.9031803551896
Chopin,1930,6,1.64219615983103,32,-2.28285386237544,31.9184676675281
Copland,1930,1,1.64219615983103,16,-1.14142693118772,15.9592338337641
Gershwin,1930,1,1.64219615983103,25,-1.78347957998081,24.9363028652563
MacDowell,1930,2,1.64219615983103,21,-1.49812284718388,20.9464944068153
Mozart,1930,4,1.64219615983103,37,-2.6395497783716,36.9057282405794
Paderewski,1930,1,1.64219615983103,5,-0.356695915996162,4.98726057305127
Schumann,1930,1,1.64219615983103,31,-2.21151467917621,30.9210155529179
Liszt,1931,2,1.624346201572,33,-1.76630141402929,32.9526960856741
Mozart,1931,7,1.624346201572,37,-1.98039855512375,36.946962277877
